keyword/phrase,score,POS
fuel,2.764705882352941,NOUN
facility,2.6923076923076925,NOUN
springer,2.6666666666666665,NOUN
bond,2.6615384615384614,NOUN
disaster,2.652173913043478,NOUN
purchase,2.625,NOUN
innovative,2.588235294117647,ADJ
fund,2.5806451612903225,NOUN
assistance,2.5789473684210527,NOUN
annual,2.5757575757575757,ADJ
emission,2.5714285714285716,NOUN
efficient,2.5384615384615383,ADJ
additional,2.5238095238095237,ADJ
international,2.511904761904762,ADJ
renewable,2.510204081632653,ADJ
agricultural,2.5,ADJ
sustainable,2.4948453608247423,ADJ
fossil,2.492063492063492,NOUN
credit,2.4761904761904763,NOUN
substantial,2.4705882352941178,ADJ
power,2.46875,NOUN
global,2.466292134831461,ADJ
mechanism,2.4615384615384617,NOUN
carbon,2.4545454545454546,NOUN
corporate,2.4444444444444446,ADJ
sovereign,2.4411764705882355,ADJ
category,2.4285714285714284,NOUN
pension,2.4166666666666665,NOUN
stimulus,2.411764705882353,NOUN
climate,2.409153952843273,NOUN
investor,2.409090909090909,NOUN
authority,2.4,NOUN
technical,2.392857142857143,ADJ
project,2.3846153846153846,NOUN
subnational,2.380952380952381,ADJ
capacity,2.36,NOUN
technology,2.357142857142857,NOUN
local,2.3529411764705883,ADJ
urban,2.347826086956522,ADJ
low,2.3392857142857144,ADJ
inquiry,2.3333333333333335,NOUN
central,2.3214285714285716,ADJ
commercial,2.32,ADJ
efficiency,2.3191489361702127,NOUN
financial,2.3173333333333335,ADJ
green,2.311627906976744,ADJ
recent,2.3076923076923075,ADJ
common,2.3,ADJ
infrastructure,2.2977099236641223,NOUN
capital,2.2950819672131146,NOUN
strong,2.2916666666666665,ADJ
bank,2.2906976744186047,NOUN
economic,2.288659793814433,ADJ
amount,2.2857142857142856,NOUN
budget,2.272727272727273,NOUN
globally,2.2666666666666666,ADV
significant,2.265625,ADJ
clean,2.2580645161290325,ADJ
risk,2.253968253968254,NOUN
banking,2.235294117647059,NOUN
knowledge,2.230769230769231,NOUN
private,2.2248062015503876,ADJ
actual,2.2222222222222223,ADJ
electricity,2.2195121951219514,NOUN
monetary,2.217391304347826,ADJ
debt,2.2169811320754715,NOUN
sector,2.201492537313433,NOUN
macro,2.2,NOUN
generation,2.1875,NOUN
portfolio,2.1818181818181817,NOUN
finance,2.181395348837209,NOUN
system,2.1777777777777776,NOUN
mitigation,2.1724137931034484,NOUN
moral,2.1666666666666665,ADJ
economy,2.1621621621621623,NOUN
national,2.1587301587301586,ADJ
action,2.151898734177215,NOUN
agreement,2.1475409836065573,NOUN
insurance,2.1392405063291138,NOUN
current,2.1363636363636362,ADJ
large,2.1333333333333333,ADJ
investment,2.1185185185185187,NOUN
model,2.1176470588235294,NOUN
quality,2.111111111111111,NOUN
critical,2.1052631578947367,ADJ
assessment,2.1029411764705883,NOUN
country,2.1025641025641026,NOUN
structural,2.1,ADJ
public,2.09375,ADJ
pereira,2.090909090909091,PROPN
price,2.0869565217391304,NOUN
standard,2.0833333333333335,ADJ
report,2.08,NOUN
relative,2.0625,ADJ
recovery,2.051282051282051,NOUN
basis,2.05,NOUN
framework,2.0454545454545454,NOUN
development,2.042682926829268,NOUN
usd,2.04,NOUN
high,2.031847133757962,ADJ
transport,2.0238095238095237,NOUN
funding,2.022222222222222,NOUN
sustainability,2.0208333333333335,NOUN
limited,2.017543859649123,ADJ
insuresilience,2.0,NOUN
physical,1.9736842105263157,ADJ
gender,1.9666666666666666,NOUN
government,1.9615384615384615,NOUN
food,1.95,NOUN
justice,1.9444444444444444,NOUN
long,1.9411764705882353,ADV
environment,1.9393939393939394,NOUN
sdg,1.9375,NOUN
study,1.9333333333333333,NOUN
alternative,1.9285714285714286,NOUN
