keyword/phrase,score,POS
expansion,2.6216216216216215,NOUN
rapidly,2.5789473684210527,ADV
runoff,2.5714285714285716,NOUN
quality,2.533333333333333,NOUN
ghg,2.5294117647058822,NOUN
safety,2.5,NOUN
climate,2.4649122807017543,NOUN
management,2.4642857142857144,NOUN
public,2.4473684210526314,ADJ
structural,2.4285714285714284,ADJ
future,2.4210526315789473,ADJ
global,2.413793103448276,ADJ
natural,2.411764705882353,ADJ
urban,2.407673860911271,ADJ
large,2.4074074074074074,ADJ
final,2.4,ADJ
multiple,2.395348837209302,ADJ
mitigation,2.3781094527363185,NOUN
system,2.35,NOUN
comprehensive,2.3333333333333335,ADJ
action,2.324324324324324,NOUN
integrated,2.3225806451612905,ADJ
subnational,2.3125,ADJ
form,2.3085106382978724,NOUN
active,2.3076923076923075,ADJ
illustrative,2.3,ADJ
informal,2.2941176470588234,ADJ
enhanced,2.2857142857142856,ADJ
wastewater,2.272727272727273,NOUN
total,2.260869565217391,ADJ
specific,2.25,ADJ
demand,2.2444444444444445,NOUN
population,2.2435897435897436,NOUN
low,2.2413793103448274,ADJ
local,2.238095238095238,ADJ
circular,2.2222222222222223,ADJ
timber,2.2142857142857144,NOUN
energy,2.2072538860103625,NOUN
c40,2.2,NOUN
supply,2.1818181818181817,NOUN
economic,2.1794871794871793,ADJ
human,2.1666666666666665,ADJ
growth,2.1578947368421053,NOUN
middle,2.1538461538461537,ADJ
intensity,2.142857142857143,NOUN
relative,2.1333333333333333,ADJ
individual,2.125,ADJ
policy,2.1176470588235294,NOUN
key,2.1142857142857143,ADJ
power,2.1,NOUN
regional,2.0869565217391304,ADJ
private,2.0833333333333335,ADJ
efficient,2.0714285714285716,ADJ
material,2.0689655172413794,NOUN
potential,2.0675675675675675,ADJ
design,2.0625,NOUN
walkable,2.0588235294117645,ADJ
social,2.05,ADJ
institutional,2.0476190476190474,ADJ
scenario,2.0357142857142856,NOUN
green,2.013157894736842,ADJ
land,2.0083333333333333,NOUN
accuracy,2.0,NOUN
blue,1.9743589743589745,ADJ
confidence,1.96875,NOUN
agreement,1.9666666666666666,NOUN
co2,1.9583333333333333,NOUN
consumption,1.9565217391304348,NOUN
food,1.95,NOUN
risk,1.9411764705882353,NOUN
capacity,1.9375,NOUN
financial,1.9333333333333333,ADJ
significant,1.9285714285714286,ADJ
access,1.9230769230769231,NOUN
sequestration,1.9166666666666667,NOUN
sm8,1.9,NOUN
infrastructure,1.8986486486486487,NOUN
mobility,1.896551724137931,NOUN
transportation,1.8928571428571428,NOUN
transit,1.8888888888888888,NOUN
level,1.8857142857142857,NOUN
impact,1.8846153846153846,NOUN
generation,1.875,NOUN
production,1.8666666666666667,NOUN
car,1.8571428571428572,NOUN
coordination,1.8461538461538463,NOUN
globally,1.8181818181818181,ADV
evidence,1.8048780487804879,NOUN
strong,1.8,ADJ
effect,1.7857142857142858,NOUN
density,1.7837837837837838,NOUN
innovation,1.7647058823529411,NOUN
today,1.75,NOUN
assessment,1.7272727272727273,NOUN
influence,1.7058823529411764,NOUN
knowledge,1.7,NOUN
city,1.6933333333333334,NOUN
heating,1.6842105263157894,NOUN
transport,1.6730769230769231,NOUN
research,1.6470588235294117,NOUN
integration,1.6428571428571428,NOUN
accessibility,1.6363636363636365,NOUN
housing,1.608695652173913,NOUN
equity,1.5833333333333333,NOUN
pandemic,1.5714285714285714,NOUN
decarbonization,1.5625,NOUN
trend,1.5555555555555556,NOUN
adaptation,1.5526315789473684,NOUN
world,1.5384615384615385,NOUN
asia,1.5357142857142858,NOUN
corrigenda,1.5,NOUN
ssp5,1.4444444444444444,PROPN
median,1.4375,NOUN
america,1.4333333333333333,NOUN
concrete,1.4285714285714286,ADJ
scope,1.4166666666666667,NOUN
pathak,1.4,ADJ
dependent,1.375,ADJ
scale,1.3666666666666667,NOUN
process,1.3636363636363635,NOUN
essential,1.3571428571428572,ADJ
africa,1.3529411764705883,NOUN
applicable,1.3333333333333333,ADJ
electrification,1.3255813953488371,NOUN
implementation,1.3076923076923077,NOUN
range,1.2941176470588236,NOUN
ssp,1.2857142857142858,NOUN
pan,1.25,NOUN
source,1.2413793103448276,NOUN
opportunity,1.2307692307692308,NOUN
section,1.1862745098039216,NOUN
bai,1.1818181818181819,NOUN
2016a,1.1666666666666667,NOUN
sharifi,1.1538461538461537,NOUN
nowak,1.1428571428571428,NOUN
2020a,1.1333333333333333,NOUN
creutzig,1.125,NOUN
glossary,1.1153846153846154,NOUN
pregitzer,1.1111111111111112,NOUN
china,1.0909090909090908,NOUN
ramaswami,1.0769230769230769,ADV
hsu,1.0666666666666667,PROPN
gurney,1.0625,NOUN
ar5,1.0588235294117647,NOUN
figure,1.0547945205479452,NOUN
addition,1.05,NOUN
seto,1.037037037037037,NOUN
correction,1.0,NOUN
