keyword/phrase,score,POS
expansion,2.6216216216216215,NOUN
rapidly,2.5789473684210527,ADV
runoff,2.5714285714285716,NOUN
quality,2.533333333333333,NOUN
ghg,2.5294117647058822,PROPN
information,2.5,NOUN
safety,2.5,NOUN
climate,2.4649122807017543,NOUN
management,2.4642857142857144,NOUN
public,2.4473684210526314,ADJ
structural,2.4285714285714284,ADJ
future,2.4210526315789473,NOUN
global,2.413793103448276,ADJ
natural,2.411764705882353,ADJ
urban,2.407673860911271,PROPN
large,2.4074074074074074,ADJ
block,2.4,PROPN
activity,2.4,NOUN
renewable,2.4,ADJ
final,2.4,ADJ
multiple,2.395348837209302,NOUN
mitigation,2.3781094527363185,NOUN
system,2.35,NOUN
deforestation,2.3333333333333335,NOUN
forest,2.3333333333333335,PROPN
storage,2.3333333333333335,NOUN
grey,2.3333333333333335,PROPN
heat,2.3333333333333335,NOUN
coarse,2.3333333333333335,ADV
authority,2.3333333333333335,NOUN
liveable,2.3333333333333335,ADJ
side,2.3333333333333335,NOUN
science,2.3333333333333335,NOUN
comprehensive,2.3333333333333335,ADJ
action,2.324324324324324,NOUN
subnational,2.3125,PROPN
form,2.3085106382978724,NOUN
active,2.3076923076923075,ADJ
illustrative,2.3,ADJ
informal,2.2941176470588234,ADJ
environmental,2.2857142857142856,ADJ
municipal,2.2857142857142856,ADJ
higher,2.282051282051282,ADV
due,2.272727272727273,ADJ
wastewater,2.272727272727273,NOUN
development,2.25,NOUN
carbon,2.25,NOUN
electric,2.25,PROPN
landscape,2.25,NOUN
specific,2.25,ADJ
demand,2.2444444444444445,NOUN
population,2.2435897435897436,NOUN
low,2.2413793103448274,ADJ
local,2.238095238095238,ADJ
positive,2.2222222222222223,ADJ
efficiency,2.2222222222222223,NOUN
geographic,2.2222222222222223,PROPN
household,2.2222222222222223,NOUN
transnational,2.2222222222222223,ADJ
circular,2.2222222222222223,ADJ
timber,2.2142857142857144,NOUN
energy,2.2072538860103625,NOUN
fundamental,2.2,ADJ
c40,2.2,PROPN
waste,2.188679245283019,NOUN
physical,2.1818181818181817,ADJ
supply,2.1818181818181817,NOUN
economic,2.1794871794871793,ADJ
address,2.1666666666666665,NOUN
reduction,2.1666666666666665,NOUN
area,2.1666666666666665,NOUN
high,2.1666666666666665,ADJ
street,2.1666666666666665,NOUN
mass,2.1666666666666665,PROPN
human,2.1666666666666665,NOUN
growth,2.1578947368421053,NOUN
middle,2.1538461538461537,ADJ
sector,2.142857142857143,NOUN
volume,2.142857142857143,NOUN
intensity,2.142857142857143,NOUN
transformation,2.1333333333333333,NOUN
rapid,2.1333333333333333,ADJ
residential,2.1333333333333333,PROPN
relative,2.1333333333333333,ADJ
shift,2.125,NOUN
individual,2.125,NOUN
policy,2.1176470588235294,NOUN
sustainable,2.1142857142857143,ADJ
key,2.1142857142857143,PROPN
compact,2.1,PROPN
power,2.1,NOUN
regional,2.0869565217391304,PROPN
temperature,2.0833333333333335,NOUN
