,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,38257603
source,MED
pmid,38257603
pmcid,PMC11154504
fullTextIdList,"OrderedDict([('fullTextId', 'PMC11154504')])"
doi,10.3390/s24020510
title,Beyond Conventional Monitoring: A Semantic Segmentation Approach to Quantifying Traffic-Induced Dust on Unsealed Roads.
authorString,"de Silva A, Ranasinghe R, Sounthararajah A, Haghighi H, Kodikara J."
authorList,"OrderedDict([('author', [OrderedDict([('fullName', 'de Silva A'), ('firstName', 'Asanka'), ('lastName', 'de Silva'), ('initials', 'A'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-3050-1290')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'ARC Industrial Transformation Research Hub (ITRH)-SPARC Hub, Department of Civil Engineering, Monash University, Clayton Campus, Clayton, VIC 3800, Australia.')]))]))]), OrderedDict([('fullName', 'Ranasinghe R'), ('firstName', 'Rajitha'), ('lastName', 'Ranasinghe'), ('initials', 'R'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-6001-512X')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'ARC Industrial Transformation Research Hub (ITRH)-SPARC Hub, Department of Civil Engineering, Monash University, Clayton Campus, Clayton, VIC 3800, Australia.')]))]))]), OrderedDict([('fullName', 'Sounthararajah A'), ('firstName', 'Arooran'), ('lastName', 'Sounthararajah'), ('initials', 'A'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0003-0839-1045')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'ARC Industrial Transformation Research Hub (ITRH)-SPARC Hub, Department of Civil Engineering, Monash University, Clayton Campus, Clayton, VIC 3800, Australia.')]))]))]), OrderedDict([('fullName', 'Haghighi H'), ('firstName', 'Hamed'), ('lastName', 'Haghighi'), ('initials', 'H'), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'Product Development Hub, Road Science, Downer EDI Works Pty Ltd., Somerton, VIC 3061, Australia.')]))]))]), OrderedDict([('fullName', 'Kodikara J'), ('firstName', 'Jayantha'), ('lastName', 'Kodikara'), ('initials', 'J'), ('authorId', OrderedDict([('@type', 'ORCID'), ('#text', '0000-0003-1725-7972')])), ('authorAffiliationDetailsList', OrderedDict([('authorAffiliation', OrderedDict([('affiliation', 'ARC Industrial Transformation Research Hub (ITRH)-SPARC Hub, Department of Civil Engineering, Monash University, Clayton Campus, Clayton, VIC 3800, Australia.')]))]))])])])"
authorIdList,"OrderedDict([('authorId', [OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-3050-1290')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0002-6001-512X')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0003-0839-1045')]), OrderedDict([('@type', 'ORCID'), ('#text', '0000-0003-1725-7972')])])])"
dataLinksTagsList,"OrderedDict([('dataLinkstag', 'supporting_data')])"
journalInfo,"OrderedDict([('issue', '2'), ('volume', '24'), ('journalIssueId', '3701107'), ('dateOfPublication', '2024 Jan'), ('monthOfPublication', '1'), ('yearOfPublication', '2024'), ('printPublicationDate', '2024-01-01'), ('journal', OrderedDict([('title', 'Sensors (Basel, Switzerland)'), ('ISOAbbreviation', 'Sensors (Basel)'), ('medlineAbbreviation', 'Sensors (Basel)'), ('NLMid', '101204366'), ('ISSN', '1424-8220'), ('ESSN', '1424-8220')]))])"
pubYear,2024
pageInfo,510
abstractText,"Road dust is a mixture of fine and coarse particles released into the air due to an external force, such as tire-ground friction or wind, which is harmful to human health when inhaled. Continuous dust emission from the road surfaces is detrimental to the road itself and the road users. Due to this, multiple dust monitoring and control techniques are currently adopted in the world. The current dust monitoring methods require expensive equipment and expertise. This study introduces a novel pragmatic and robust approach to quantifying traffic-induced road dust using a deep learning method called semantic segmentation. Based on the authors' previous works, the best-performing semantic segmentation machine learning models were selected and used to identify dust in an image pixel-wise. The total number of dust pixels was then correlated with real-world dust measurements obtained from a research-grade dust monitor. Our method shows that semantic segmentation can be adopted to quantify traffic-induced dust reasonably. Over 90% of the predictions from both correlations fall in true positive quadrant, indicating that when dust concentrations are below the threshold, the segmentation can accurately predict them. The results were validated and extended for real-time application. Our code implementation is publicly available."
affiliation,"ARC Industrial Transformation Research Hub (ITRH)-SPARC Hub, Department of Civil Engineering, Monash University, Clayton Campus, Clayton, VIC 3800, Australia."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"OrderedDict([('pubType', ['research-article', 'Journal Article'])])"
grantsList,"OrderedDict([('grant', [OrderedDict([('grantId', 'IH180100010'), ('agency', 'Australian Research Council (ARC) Industrial Transformation Research Hub (ITRH) Scheme'), ('orderIn', '0')]), OrderedDict([('grantId', 'IH18.12.1'), ('agency', 'Smart Pavements Australia Research Collaboration (SPARC) Hub'), ('orderIn', '0')])])])"
keywordList,"OrderedDict([('keyword', ['Dust', 'Machine Learning', 'Road Dust', 'Deep Learning', 'Semantic Segmentation', 'Dust Monitoring', 'Dust Quantification', 'Traffic-induced Dust', 'Unsealed Roads'])])"
subsetList,"OrderedDict([('subset', OrderedDict([('code', 'IM'), ('name', 'Index Medicus')]))])"
