keywords extracted using RAKE 

keyword/phrase,score,POS
level,1.84057971,NOUN
strategic,1.833333333,ADJ
governance,1.827586207,NOUN
stability,1.823529412,NOUN
literature,1.818181818,NOUN
effect,1.8125,NOUN
pandemic,1.805555556,NOUN
gdp,1.804347826,NOUN
decarbonization,1.8,NOUN
uncertainty,1.794117647,NOUN
agenda,1.785714286,NOUN
analysis,1.78125,NOUN
poverty,1.777777778,NOUN
innovation,1.769230769,NOUN
premium,1.764705882,NOUN
access,1.755102041,NOUN
secondary,1.75,ADJ
covid-19,1.740740741,PROPN
past,1.736842105,ADV
law,1.727272727,NOUN
important,1.724137931,ADJ
impact,1.720588235,NOUN
williams,1.714285714,PROPN
general,1.705882353,ADJ
resilience,1.696969697,NOUN
definition,1.692307692,NOUN
iii,1.684210526,NOUN
distribution,1.681818182,NOUN
evidence,1.674418605,NOUN
solidarity,1.666666667,NOUN
factor,1.653846154,NOUN
average,1.646153846,ADJ
2019b,1.642857143,NOUN
2020c,1.636363636,NOUN
design,1.625,NOUN
paris,1.616666667,NOUN
contribution,1.615384615,NOUN
damage,1.588235294,NOUN
cpi,1.583333333,NOUN
alignment,1.580645161,NOUN
iea,1.576923077,NOUN
cambridge,1.571428571,NOUN
case,1.558823529,NOUN
diffusion,1.555555556,NOUN
challenge,1.55,NOUN
increase,1.543859649,NOUN
oecd,1.531914894,NOUN
unep,1.515151515,NOUN
könig,1.5,NOUN
role,1.480519481,NOUN
source,1.473684211,NOUN
nature,1.461538462,NOUN
handbook,1.444444444,NOUN
transparency,1.43902439,NOUN
icma,1.428571429,NOUN
2020a,1.40625,NOUN
unfccc,1.393442623,NOUN
irena,1.389830508,PROPN
year,1.384615385,NOUN
forecast,1.375,NOUN
implementation,1.37037037,NOUN
scope,1.368421053,NOUN
mdbs,1.357142857,ADJ
transformation,1.352941176,NOUN
cdf,1.333333333,NOUN
chapter,1.321428571,NOUN
gcf,1.315789474,NOUN
polit,1.307692308,ADJ
december,1.3,NOUN
dev,1.296296296,NOUN
frankfurt,1.285714286,NOUN
tcfd,1.266666667,NOUN
oxfam,1.25,NOUN
context,1.236842105,NOUN
ability,1.235294118,NOUN
ifc,1.230769231,NOUN
arc,1.222222222,NOUN
figure,1.216216216,NOUN
land,1.19047619,NOUN
stud,1.181818182,NOUN
mercure,1.173913043,NOUN
convergence,1.166666667,NOUN
financ,1.157894737,NOUN
dasgupta,1.153846154,PROPN
econ,1.144578313,NOUN
gov,1.142857143,NOUN
london,1.12962963,NOUN
singh,1.125,NOUN
lack,1.121212121,NOUN
int,1.12,NOUN
prod,1.111111111,NOUN
bnef,1.105263158,ADV
watson,1.1,NOUN
time,1.097560976,NOUN
afdb,1.090909091,NOUN
eur,1.076923077,NOUN
type,1.066666667,NOUN
addition,1.0625,NOUN
york,1.058823529,NOUN
doi,1.058275058,NOUN
washington,1.051948052,NOUN
environ,1.046511628,NOUN
battiston,1.043478261,NOUN
chang,1.027027027,PROPN
section,1.0125,NOUN
